microns	transmission
2.991	0.929313894
2.992	0.929800219
2.993	0.930286491
2.994	0.930771544
2.995	0.931254219
2.996	0.93173337
2.997	0.932207864
2.998	0.932676586
2.999	0.933138441
3	0.933592358
3.001	0.934057325
3.002	0.934512258
3.003	0.934956167
3.004	0.935388099
3.005	0.935807141
3.006	0.936212417
3.007	0.936603099
3.008	0.936978404
3.009	0.937337597
3.01	0.937679995
3.011	0.938004967
3.012	0.938311938
3.013	0.93860039
3.014	0.938869862
3.015	0.939119954
3.016	0.939350325
3.017	0.939560698
3.018	0.939750856
3.019	0.939920647
3.02	0.940069981
3.021	0.940198831
3.022	0.940307234
3.023	0.940395288
3.024	0.940463153
3.025	0.940511052
3.026	0.940539265
3.027	0.940548132
3.028	0.940538048
3.029	0.940509467
3.03	0.94046289
3.031	0.940398875
3.032	0.940318024
3.033	0.940220987
3.034	0.940108458
3.035	0.939981169
3.036	0.939839892
3.037	0.939685433
3.038	0.93951863
3.039	0.939340348
3.04	0.93915148
3.041	0.938952937
3.042	0.938745651
3.043	0.938530571
3.044	0.938308655
3.045	0.93808087
3.046	0.937848191
3.047	0.937611594
3.048	0.937372053
3.049	0.937130539
3.05	0.936888018
3.051	0.936645444
3.052	0.936403758
3.053	0.936163889
3.054	0.935926744
3.055	0.935693212
3.056	0.935464161
3.057	0.935240431
3.058	0.935022836
3.059	0.934812162
3.06	0.934609165
3.061	0.934414567
3.062	0.934229058
3.063	0.93405329
3.064	0.933887883
3.065	0.933733415
3.066	0.933590428
3.067	0.933459426
3.068	0.93334087
3.069	0.933235183
3.07	0.933142746
3.071	0.933063899
3.072	0.93299894
3.073	0.932948127
3.074	0.932911675
3.075	0.93288976
3.076	0.932882515
3.077	0.932890033
3.078	0.932912367
3.079	0.932949531
3.08	0.933001498
3.081	0.933068207
3.082	0.933149555
3.083	0.933245405
3.084	0.933355584
3.085	0.933479885
3.086	0.933618068
3.087	0.93376986
3.088	0.933934956
3.089	0.934113024
3.09	0.934303701
3.091	0.9345066
3.092	0.934721305
3.093	0.93494738
3.094	0.935184363
3.095	0.935431772
3.096	0.935689107
3.097	0.935955849
3.098	0.936231463
3.099	0.936515399
3.1	0.936807094
3.101	0.937105761
3.102	0.937411019
3.103	0.937722278
3.104	0.938038942
3.105	0.938360411
3.106	0.938686082
3.107	0.939015351
3.108	0.939347613
3.109	0.939682268
3.11	0.940018716
3.111	0.940356365
3.112	0.94069463
3.113	0.941032931
3.114	0.941370701
3.115	0.941707383
3.116	0.942042432
3.117	0.942375317
3.118	0.942705523
3.119	0.943032548
3.12	0.943355911
3.121	0.943675147
3.122	0.943989811
3.123	0.944299479
3.124	0.944603746
3.125	0.944902231
3.126	0.945194574
3.127	0.945480439
3.128	0.945759512
3.129	0.946031504
3.13	0.946296151
3.131	0.946553212
3.132	0.946802472
3.133	0.947043741
3.134	0.947276852
3.135	0.947501664
3.136	0.947718061
3.137	0.94792595
3.138	0.948125263
3.139	0.948315956
3.14	0.948498007
3.141	0.948671418
3.142	0.94883621
3.143	0.948992429
3.144	0.94914014
3.145	0.949279428
3.146	0.949410396
3.147	0.949533166
3.148	0.949647878
3.149	0.949754686
3.15	0.949853762
3.151	0.949945291
3.152	0.950029469
3.153	0.950106508
3.154	0.950176627
3.155	0.950240059
3.156	0.950297041
3.157	0.950347822
3.158	0.950392655
3.159	0.950431799
3.16	0.950465518
3.161	0.950494077
3.162	0.950517747
3.163	0.950536795
3.164	0.950551492
3.165	0.950562107
3.166	0.950568906
3.167	0.950572153
3.168	0.950572108
3.169	0.950569026
3.17	0.950563156
3.171	0.950554741
3.172	0.950544018
3.173	0.950531214
3.174	0.950516549
3.175	0.950500232
3.176	0.950482463
3.177	0.950463434
3.178	0.950443321
3.179	0.950422294
3.18	0.950400508
3.181	0.950378106
3.182	0.95035522
3.183	0.950331968
3.184	0.950308457
3.185	0.950284779
3.186	0.950261013
3.187	0.950237227
3.188	0.950213474
3.189	0.950189793
3.19	0.950166211
3.191	0.950142744
3.192	0.950119392
3.193	0.950096143
3.194	0.950072976
3.195	0.950049853
3.196	0.950026728
3.197	0.950003542
3.198	0.949980227
3.199	0.949956703
3.2	0.94993288
3.201	0.949908687
3.202	0.94988399
3.203	0.949858673
3.204	0.949832615
3.205	0.949805683
3.206	0.949777744
3.207	0.949748654
3.208	0.949718267
3.209	0.949686433
3.21	0.949652998
3.211	0.949617805
3.212	0.949580697
3.213	0.949541513
3.214	0.949500095
3.215	0.949456284
3.216	0.949409922
3.217	0.949360854
3.218	0.949308928
3.219	0.949253995
3.22	0.949195912
3.221	0.949134538
3.222	0.949069743
3.223	0.949001399
3.224	0.948929388
3.225	0.9488536
3.226	0.948773934
3.227	0.948690296
3.228	0.948602605
3.229	0.948510789
3.23	0.948414788
3.231	0.948314552
3.232	0.948210045
3.233	0.948101242
3.234	0.947988131
3.235	0.947870714
3.236	0.947749006
3.237	0.947623035
3.238	0.947492843
3.239	0.947358488
3.24	0.947220038
3.241	0.947077578
3.242	0.946931207
3.243	0.946781037
3.244	0.946627194
3.245	0.946469819
3.246	0.946309065
3.247	0.946145099
3.248	0.945978101
3.249	0.945808262
3.25	0.945635789
3.251	0.945460897
3.252	0.945283814
3.253	0.94510478
3.254	0.944924043
3.255	0.944741862
3.256	0.944558506
3.257	0.944374251
3.258	0.944189382
3.259	0.94400419
3.26	0.943818975
3.261	0.943634039
3.262	0.943449694
3.263	0.943266251
3.264	0.943084029
3.265	0.942903348
3.266	0.942724529
3.267	0.942547897
3.268	0.942373776
3.269	0.942202489
3.27	0.942034359
3.271	0.941869709
3.272	0.941708856
3.273	0.941552117
3.274	0.941399804
3.275	0.941252223
3.276	0.941109677
3.277	0.940972463
3.278	0.940840869
3.279	0.940715178
3.28	0.940595665
3.281	0.940482596
3.282	0.940376229
3.283	0.940276813
3.284	0.940184584
3.285	0.940099771
3.286	0.940022592
3.287	0.939953252
3.288	0.939891945
3.289	0.939838853
3.29	0.939794148
3.291	0.939757986
3.292	0.939730513
3.293	0.939711859
3.294	0.939702144
3.295	0.939701473
3.296	0.939709936
3.297	0.939727612
3.298	0.939754565
3.299	0.939790845
3.3	0.939836488
3.301	0.939891371
3.302	0.939955636
3.303	0.940029277
3.304	0.940112277
3.305	0.940204601
3.306	0.940306205
3.307	0.940417028
3.308	0.940536998
3.309	0.940666028
3.31	0.940804019
3.311	0.940950861
3.312	0.941106429
3.313	0.941270587
3.314	0.941443186
3.315	0.941624067
3.316	0.941813059
3.317	0.94200998
3.318	0.942214637
3.319	0.942426826
3.32	0.942646336
3.321	0.942872942
3.322	0.943106414
3.323	0.943346511
3.324	0.943592985
3.325	0.943845578
3.326	0.944104026
3.327	0.944368058
3.328	0.944637397
3.329	0.944911759
3.33	0.945190854
3.331	0.945474388
3.332	0.945762063
3.333	0.946053575
3.334	0.946348617
3.335	0.946646881
3.336	0.946948054
3.337	0.947251821
3.338	0.947557868
3.339	0.947865878
3.34	0.948175534
3.341	0.948486519
3.342	0.948798517
3.343	0.949111214
3.344	0.949424295
3.345	0.949737452
3.346	0.950050375
3.347	0.950362759
3.348	0.950674304
3.349	0.950984714
3.35	0.951293696
3.351	0.951600965
3.352	0.951906238
3.353	0.952209244
3.354	0.952509712
3.355	0.952807384
3.356	0.953102006
3.357	0.953393334
3.358	0.95368113
3.359	0.953965168
3.36	0.954245229
3.361	0.954521104
